/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 182 | Reward: -185.889 | Steps:  9 | Success: True | Epsilon: 0.776
Episode 183 | Reward: -246.325 | Steps: 11 | Success: True | Epsilon: 0.775
Episode 184 | Reward:  -79.404 | Steps:  7 | Success: True | Epsilon: 0.774
Episode 185 | Reward: -581.941 | Steps: 18 | Success: True | Epsilon: 0.773
Episode 186 | Reward: -576.583 | Steps: 17 | Success: True | Epsilon: 0.772
Episode 187 | Reward: -136.348 | Steps:  7 | Success: True | Epsilon: 0.771
Episode 188 | Reward: -402.611 | Steps:  6 | Success: False | Epsilon: 0.770
Episode 189 | Reward: -243.385 | Steps: 12 | Success: True | Epsilon: 0.769
Episode 190 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.768
Episode 191 | Reward: -739.296 | Steps: 17 | Success: True | Epsilon: 0.767
Episode 192 | Reward: -611.574 | Steps:  9 | Success: False | Epsilon: 0.766
Episode 193 | Reward: -103.735 | Steps:  1 | Success: False | Epsilon: 0.765
Episode 194 | Reward: -382.354 | Steps:  6 | Success: False | Epsilon: 0.764
Episode 195 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.763
Episode 196 | Reward: -341.937 | Steps:  5 | Success: False | Epsilon: 0.762
Episode 197 | Reward: -103.875 | Steps:  1 | Success: False | Epsilon: 0.761
Episode 198 | Reward:  -85.952 | Steps:  1 | Success: False | Epsilon: 0.760
Episode 199 | Reward: -1036.570 | Steps: 30 | Success: True | Epsilon: 0.759
Episode 200 | Reward:  -92.522 | Steps:  6 | Success: True | Epsilon: 0.758
Validation | episode=200 success=30.00% recent_reward=-369.062
Episode 201 | Reward: -528.958 | Steps:  7 | Success: False | Epsilon: 0.757
Episode 202 | Reward: -834.342 | Steps: 22 | Success: True | Epsilon: 0.756
Episode 203 | Reward: -955.965 | Steps: 24 | Success: True | Epsilon: 0.755
