/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 168 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.795
Episode 169 | Reward:   30.000 | Steps: 13 | Success: True | Epsilon: 0.794
Episode 170 | Reward:   34.000 | Steps: 18 | Success: True | Epsilon: 0.793
Episode 171 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.791
Episode 172 | Reward:  -46.000 | Steps:  7 | Success: False | Epsilon: 0.790
Episode 173 | Reward:   20.000 | Steps: 20 | Success: True | Epsilon: 0.789
Episode 174 | Reward:   13.000 | Steps: 24 | Success: True | Epsilon: 0.788
Episode 175 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.787
Episode 176 | Reward:   34.000 | Steps: 24 | Success: True | Epsilon: 0.785
Episode 177 | Reward:   28.000 | Steps: 24 | Success: True | Epsilon: 0.784
Episode 178 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.783
Episode 179 | Reward:  -16.000 | Steps: 38 | Success: True | Epsilon: 0.782
Episode 180 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.780
Episode 181 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.779
Episode 182 | Reward:   14.000 | Steps:  8 | Success: True | Epsilon: 0.778
Episode 183 | Reward:   19.000 | Steps: 28 | Success: True | Epsilon: 0.777
Episode 184 | Reward:   34.000 | Steps: 21 | Success: True | Epsilon: 0.776
Episode 185 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.774
Episode 186 | Reward:   34.000 | Steps: 24 | Success: True | Epsilon: 0.773
Episode 187 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.772
Episode 188 | Reward:    5.000 | Steps:  4 | Success: True | Epsilon: 0.771
Episode 189 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.769
Episode 190 | Reward:   10.000 | Steps: 28 | Success: True | Epsilon: 0.768
Episode 191 | Reward:   14.000 | Steps: 29 | Success: True | Epsilon: 0.767
Episode 192 | Reward:   48.000 | Steps: 31 | Success: True | Epsilon: 0.766
New best model saved. Avg(last 20)=16.000
Episode 193 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.765
Episode 194 | Reward:   24.000 | Steps: 22 | Success: True | Epsilon: 0.763
Episode 195 | Reward:  -27.000 | Steps:  6 | Success: False | Epsilon: 0.762
Episode 196 | Reward:   -4.000 | Steps: 40 | Success: False | Epsilon: 0.761
Episode 197 | Reward:  -33.000 | Steps:  6 | Success: False | Epsilon: 0.760
Episode 198 | Reward:   37.000 | Steps: 26 | Success: True | Epsilon: 0.758
Episode 199 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.757
Episode 200 | Reward:   64.000 | Steps: 30 | Success: True | Epsilon: 0.756
Episode 201 | Reward:   -2.000 | Steps: 20 | Success: True | Epsilon: 0.755
Episode 202 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.753
Episode 203 | Reward:   12.000 | Steps: 16 | Success: True | Epsilon: 0.752
Episode 204 | Reward:   17.000 | Steps: 28 | Success: True | Epsilon: 0.751
Episode 205 | Reward:   26.000 | Steps: 20 | Success: True | Epsilon: 0.750
Episode 206 | Reward:   20.000 | Steps: 29 | Success: True | Epsilon: 0.749
Episode 207 | Reward:   16.000 | Steps: 15 | Success: True | Epsilon: 0.747
Episode 208 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.746
Episode 209 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.745
Episode 210 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.744
Episode 211 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.742
Episode 212 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.741
Episode 213 | Reward:   57.000 | Steps: 27 | Success: True | Epsilon: 0.740
Episode 214 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.739
Episode 215 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.738
Episode 216 | Reward:   22.000 | Steps: 27 | Success: True | Epsilon: 0.736
Episode 217 | Reward:    0.000 | Steps: 20 | Success: True | Epsilon: 0.735
Episode 218 | Reward:   20.000 | Steps: 29 | Success: True | Epsilon: 0.734
Episode 219 | Reward:  -56.000 | Steps: 34 | Success: True | Epsilon: 0.733
Episode 220 | Reward:   24.000 | Steps: 30 | Success: True | Epsilon: 0.731
Episode 221 | Reward:   28.000 | Steps: 24 | Success: True | Epsilon: 0.730
Episode 222 | Reward:   54.000 | Steps: 25 | Success: True | Epsilon: 0.729
Episode 223 | Reward:   19.000 | Steps: 26 | Success: True | Epsilon: 0.728
Episode 224 | Reward:   12.000 | Steps: 31 | Success: True | Epsilon: 0.726
Episode 225 | Reward:   32.000 | Steps: 23 | Success: True | Epsilon: 0.725
Episode 226 | Reward:  -46.000 | Steps: 40 | Success: False | Epsilon: 0.724
Episode 227 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.723
Episode 228 | Reward:    4.000 | Steps: 35 | Success: True | Epsilon: 0.722
Episode 229 | Reward:   32.000 | Steps: 28 | Success: True | Epsilon: 0.720
Episode 230 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.719
Episode 231 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.718
Episode 232 | Reward:   12.000 | Steps: 22 | Success: True | Epsilon: 0.717
Episode 233 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.715
Episode 234 | Reward:    8.000 | Steps: 14 | Success: True | Epsilon: 0.714
Episode 235 | Reward:   11.000 | Steps:  4 | Success: True | Epsilon: 0.713
Episode 236 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.712
Episode 237 | Reward:    6.000 | Steps: 19 | Success: True | Epsilon: 0.711
Episode 238 | Reward:  -44.000 | Steps:  7 | Success: False | Epsilon: 0.709
Episode 239 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.708
Episode 240 | Reward: -150.000 | Steps: 40 | Success: False | Epsilon: 0.707
Episode 241 | Reward:   31.000 | Steps: 37 | Success: True | Epsilon: 0.706
Episode 242 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.704
Episode 243 | Reward:   30.000 | Steps: 25 | Success: True | Epsilon: 0.703
Episode 244 | Reward:   12.000 | Steps: 25 | Success: True | Epsilon: 0.702
Episode 245 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.701
Episode 246 | Reward:  -34.000 | Steps:  5 | Success: False | Epsilon: 0.699
Episode 247 | Reward:  -12.000 | Steps: 38 | Success: True | Epsilon: 0.698
Episode 248 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.697
Episode 249 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.696
Episode 250 | Reward:  -36.000 | Steps:  6 | Success: False | Epsilon: 0.695
Episode 251 | Reward:   10.000 | Steps: 30 | Success: True | Epsilon: 0.693
Episode 252 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.692
Episode 253 | Reward:    5.000 | Steps: 25 | Success: True | Epsilon: 0.691
Episode 254 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.690
Episode 255 | Reward:   28.000 | Steps: 12 | Success: True | Epsilon: 0.688
Episode 256 | Reward:  -14.000 | Steps: 22 | Success: True | Epsilon: 0.687
Episode 257 | Reward:   16.000 | Steps:  6 | Success: True | Epsilon: 0.686
Episode 258 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.685
