Episode 239 | Reward: -131.410 | Steps:  8 | Success: False | Epsilon: 0.721
Episode 240 | Reward: -262.573 | Steps: 28 | Success: True | Epsilon: 0.720
Episode 241 | Reward:    3.068 | Steps:  3 | Success: True | Epsilon: 0.719
Episode 242 | Reward:  -77.711 | Steps:  5 | Success: False | Epsilon: 0.718
Episode 243 | Reward:  -22.282 | Steps:  1 | Success: False | Epsilon: 0.717
Episode 244 | Reward:    1.165 | Steps:  4 | Success: True | Epsilon: 0.716
Episode 245 | Reward:  -26.471 | Steps:  1 | Success: False | Epsilon: 0.715
Episode 246 | Reward:   -8.107 | Steps:  5 | Success: True | Epsilon: 0.714
Episode 247 | Reward:  -26.524 | Steps:  1 | Success: False | Epsilon: 0.713
Episode 248 | Reward:  -33.287 | Steps:  1 | Success: False | Epsilon: 0.712
Episode 249 | Reward:  -23.051 | Steps:  1 | Success: False | Epsilon: 0.711
Episode 250 | Reward:  -26.296 | Steps:  1 | Success: False | Epsilon: 0.710
Validation | episode=250 success=20.00% recent_reward=-48.703
Episode 251 | Reward:  -15.639 | Steps:  6 | Success: True | Epsilon: 0.709
Episode 252 | Reward:  -26.435 | Steps:  1 | Success: False | Epsilon: 0.708
Episode 253 | Reward: -148.965 | Steps: 25 | Success: True | Epsilon: 0.708
Episode 254 | Reward:  -27.955 | Steps:  1 | Success: False | Epsilon: 0.707
Episode 255 | Reward:  -13.158 | Steps:  6 | Success: True | Epsilon: 0.706
Episode 256 | Reward:    2.803 | Steps:  3 | Success: True | Epsilon: 0.705
Episode 257 | Reward:  -23.570 | Steps:  1 | Success: False | Epsilon: 0.704
Episode 258 | Reward:  -26.440 | Steps:  8 | Success: True | Epsilon: 0.703
Episode 259 | Reward:   -1.446 | Steps:  4 | Success: True | Epsilon: 0.702
Episode 260 | Reward: -147.011 | Steps: 19 | Success: True | Epsilon: 0.701
Episode 261 | Reward:  -28.011 | Steps:  1 | Success: False | Epsilon: 0.700
Episode 262 | Reward: -126.508 | Steps:  8 | Success: False | Epsilon: 0.699
Episode 263 | Reward:  -78.017 | Steps:  5 | Success: False | Epsilon: 0.698
Episode 264 | Reward:  -22.634 | Steps:  1 | Success: False | Epsilon: 0.697
Episode 265 | Reward: -118.269 | Steps: 17 | Success: True | Epsilon: 0.696
Episode 266 | Reward:  -21.862 | Steps:  6 | Success: True | Epsilon: 0.696
Episode 267 | Reward:   -1.321 | Steps:  4 | Success: True | Epsilon: 0.695
Episode 268 | Reward:  -16.153 | Steps:  6 | Success: True | Epsilon: 0.694
Episode 269 | Reward: -205.468 | Steps: 12 | Success: False | Epsilon: 0.693
Episode 270 | Reward:  -56.521 | Steps:  3 | Success: False | Epsilon: 0.692
Episode 271 | Reward:  -26.304 | Steps:  1 | Success: False | Epsilon: 0.691
Episode 272 | Reward:  -76.701 | Steps:  4 | Success: False | Epsilon: 0.690
Episode 273 | Reward:  -80.557 | Steps: 17 | Success: True | Epsilon: 0.689
Episode 274 | Reward:  -37.053 | Steps:  9 | Success: True | Epsilon: 0.688
Episode 275 | Reward:  -79.956 | Steps: 13 | Success: True | Epsilon: 0.687
Validation | episode=275 success=24.00% recent_reward=-50.681
Episode 276 | Reward:  -27.078 | Steps:  1 | Success: False | Epsilon: 0.686
Episode 277 | Reward:   -0.183 | Steps:  4 | Success: True | Epsilon: 0.685
