/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 267 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.638
Episode 268 | Reward:   14.000 | Steps:  5 | Success: True | Epsilon: 0.637
Episode 269 | Reward:   21.000 | Steps: 18 | Success: True | Epsilon: 0.636
Episode 270 | Reward: -141.000 | Steps: 40 | Success: False | Epsilon: 0.634
Episode 271 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.633
Episode 272 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.632
Episode 273 | Reward:  -42.000 | Steps:  8 | Success: False | Epsilon: 0.630
Episode 274 | Reward:  -37.000 | Steps:  8 | Success: False | Epsilon: 0.629
Episode 275 | Reward:    7.000 | Steps:  2 | Success: True | Epsilon: 0.628
Episode 276 | Reward:    4.000 | Steps: 25 | Success: True | Epsilon: 0.626
Episode 277 | Reward:   12.000 | Steps:  4 | Success: True | Epsilon: 0.625
Episode 278 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.624
Episode 279 | Reward:   38.000 | Steps: 17 | Success: True | Epsilon: 0.622
Episode 280 | Reward:   -9.000 | Steps:  1 | Success: False | Epsilon: 0.621
Episode 281 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.619
Episode 282 | Reward:  -37.000 | Steps:  6 | Success: False | Epsilon: 0.618
Episode 283 | Reward:  -19.000 | Steps: 24 | Success: True | Epsilon: 0.617
Episode 284 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.615
Episode 285 | Reward:  -40.000 | Steps:  7 | Success: False | Epsilon: 0.614
Episode 286 | Reward:    8.000 | Steps: 26 | Success: True | Epsilon: 0.613
Episode 287 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.611
Episode 288 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.610
Episode 289 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.609
Episode 290 | Reward:    4.000 | Steps: 22 | Success: True | Epsilon: 0.607
Episode 291 | Reward:   11.000 | Steps: 14 | Success: True | Epsilon: 0.606
Episode 292 | Reward:  -33.000 | Steps:  7 | Success: False | Epsilon: 0.605
Episode 293 | Reward:   15.000 | Steps:  8 | Success: True | Epsilon: 0.603
Episode 294 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.602
Episode 295 | Reward:   12.000 | Steps:  5 | Success: True | Epsilon: 0.600
Episode 296 | Reward:   14.000 | Steps: 12 | Success: True | Epsilon: 0.599
