Episode 225 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.645
Episode 226 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.643
Episode 227 | Reward:    8.000 | Steps: 14 | Success: True | Epsilon: 0.642
Episode 228 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.640
Episode 229 | Reward:   -4.000 | Steps: 26 | Success: True | Epsilon: 0.638
Episode 230 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.637
Episode 231 | Reward:   12.000 | Steps: 19 | Success: True | Epsilon: 0.635
Episode 232 | Reward:   32.000 | Steps: 35 | Success: True | Epsilon: 0.634
Episode 233 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.632
Episode 234 | Reward:   12.000 | Steps: 19 | Success: True | Epsilon: 0.630
Episode 235 | Reward:   40.000 | Steps: 15 | Success: True | Epsilon: 0.629
Episode 236 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.627
Episode 237 | Reward:    6.000 | Steps: 13 | Success: True | Epsilon: 0.626
Episode 238 | Reward:   24.000 | Steps: 25 | Success: True | Epsilon: 0.624
Episode 239 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.623
Episode 240 | Reward:   28.000 | Steps:  9 | Success: True | Epsilon: 0.621
Episode 241 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.619
Episode 242 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.618
Episode 243 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.616
Episode 244 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.615
Episode 245 | Reward:   12.000 | Steps: 13 | Success: True | Epsilon: 0.613
Episode 246 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.611
Episode 247 | Reward:    8.000 | Steps:  5 | Success: True | Epsilon: 0.610
Episode 248 | Reward:   -2.000 | Steps: 15 | Success: True | Epsilon: 0.608
Episode 249 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.607
Episode 250 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.605
Episode 251 | Reward:   32.000 | Steps: 26 | Success: True | Epsilon: 0.604
Episode 252 | Reward:   26.000 | Steps:  8 | Success: True | Epsilon: 0.602
Episode 253 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.600
Episode 254 | Reward:  -28.000 | Steps:  6 | Success: False | Epsilon: 0.599
Episode 255 | Reward:   -6.000 | Steps: 34 | Success: True | Epsilon: 0.597
Episode 256 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.596
Episode 257 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.594
Episode 258 | Reward:   12.000 | Steps: 22 | Success: True | Epsilon: 0.592
Episode 259 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.591
Episode 260 | Reward:   54.000 | Steps: 22 | Success: True | Epsilon: 0.589
Episode 261 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.588
Episode 262 | Reward:   46.000 | Steps: 18 | Success: True | Epsilon: 0.586
